# time	Xh_Frames	P100_Output	Drive_Eh1	Laser_probe	
6.219187500000000711e-07	-3.703124999999962697e-02	-2.046875000000003553e-03	-1.187500000000007994e-03	2.601562499999987566e-03
6.219587500000000106e-07	-3.765624999999994671e-02	6.875000000000075495e-04	-7.265624999999997780e-03	2.507812499999984013e-03
6.219987500000000559e-07	-5.078124999999822364e-03	5.171874999999992450e-03	-1.609375000000023981e-03	-2.343750000000088818e-04
6.220387499999999954e-07	-1.640624999999973355e-02	3.500000000000003109e-03	2.343749999999533706e-04	3.593749999999951150e-04
6.220787500000000408e-07	-3.617187499999996447e-02	-1.687500000000008438e-03	5.953125000000003553e-03	-9.140625000000068834e-04
6.221187499999999802e-07	-2.023437499999980460e-02	-4.609374999999971134e-03	5.953125000000003553e-03	1.484374999999982236e-03
6.221587500000000256e-07	-2.546874999999992895e-02	-3.015624999999966249e-03	6.406249999999502620e-04	1.414062500000007327e-03
6.221987500000000710e-07	-2.789062499999994671e-02	-3.906250000000000000e-03	-3.750000000000031086e-03	2.578124999999986677e-03
6.222387500000000104e-07	-2.617187499999973355e-02	6.406250000000057732e-04	-2.781250000000012879e-03	1.953125000000000000e-03
6.222787500000000558e-07	-2.812499999999973355e-02	-1.890624999999979128e-03	-2.609375000000024869e-03	1.351562499999986455e-03
6.223187499999999953e-07	-3.664062499999998224e-02	-7.812500000000111022e-04	3.640624999999952927e-03	2.078124999999986233e-03
6.223587500000000406e-07	-1.351562499999969802e-02	-5.453125000000003109e-03	1.765624999999992895e-03	2.781249999999985123e-03
6.223987499999999801e-07	3.523437500000037303e-02	-3.531249999999985789e-03	2.171874999999989786e-03	2.164062499999980238e-03
6.224387500000000255e-07	2.609375000000024869e-02	-4.468749999999965805e-03	-2.968750000000019984e-03	1.242187499999991562e-03
6.224787500000000708e-07	-1.742187499999969802e-02	1.156250000000025313e-03	-1.250000000000417444e-04	-9.609375000000086597e-04
6.225187500000000103e-07	-2.984374999999994671e-02	-6.875000000000075495e-04	-3.750000000000142109e-04	6.953124999999893419e-04
6.225587500000000557e-07	-3.039062499999989342e-02	-2.812500000000106581e-04	-1.718750000000435207e-04	-1.953125000000166533e-04
6.225987499999999951e-07	-2.421875000000017764e-03	-1.000000000000000888e-03	3.921874999999963585e-03	1.835937499999995559e-03
6.226387500000000405e-07	-8.984374999999822364e-03	-5.484374999999985789e-03	2.343749999999533706e-04	1.148437499999988010e-03
6.226787499999999800e-07	-9.374999999999911182e-03	-2.624999999999988454e-03	1.234374999999954259e-03	-4.453125000000168754e-04
6.227187500000000253e-07	-3.773437499999987566e-02	-4.593750000000007550e-03	2.671874999999990230e-03	1.796874999999975575e-04
6.227587500000000707e-07	-2.609374999999980460e-02	-3.124999999999933387e-04	3.640624999999952927e-03	-5.156250000000195399e-04
6.227987500000000102e-07	-3.335937499999985789e-02	3.750000000000031086e-03	-1.421875000000016875e-03	2.976562500000001776e-03
6.228387500000000555e-07	-1.070312500000003553e-02	-8.281250000000128786e-04	-5.515625000000023981e-03	2.343750000000088818e-05
6.228787499999999950e-07	-1.335937499999984013e-02	-2.734375000000011102e-03	-6.468750000000023093e-03	-1.734375000000010214e-03
6.229187500000000403e-07	-1.953125000000000000e-03	-3.015624999999966249e-03	-3.421875000000018652e-03	-1.906249999999998224e-03
6.229587499999999798e-07	-3.757812500000001776e-02	9.218750000000164313e-04	1.249999999999973355e-03	2.945312499999991340e-03
6.229987500000000252e-07	-3.968749999999987566e-02	6.875000000000075495e-04	2.437499999999981348e-03	1.609374999999996225e-03
6.230387500000000705e-07	-1.093749999999982236e-02	-2.390624999999979572e-03	-1.671875000000044853e-03	2.484374999999983125e-03
6.230787500000000100e-07	1.968750000000030198e-02	-2.343749999999977796e-03	-6.015625000000024425e-03	-6.796874999999980016e-04
6.231187500000000554e-07	-3.429687499999989342e-02	-5.468749999999966693e-03	-6.093750000000230926e-04	2.648437499999989342e-03
