# time	Trigger	RGA	Intrepid	Pockels_Monitor	
1.890959999999999934e-06	1.689999999999999947e+00	2.000000000000001776e-03	-1.110223024625156540e-16	0.000000000000000000e+00
1.891119999999999903e-06	1.689999999999999947e+00	2.000000000000001776e-03	-1.110223024625156540e-16	0.000000000000000000e+00
1.891279999999999873e-06	1.689999999999999947e+00	6.000000000000005329e-03	-1.110223024625156540e-16	0.000000000000000000e+00
1.891440000000000054e-06	1.689999999999999947e+00	2.000000000000001776e-03	-1.110223024625156540e-16	0.000000000000000000e+00
1.891600000000000024e-06	1.689999999999999947e+00	2.000000000000001776e-03	-1.110223024625156540e-16	0.000000000000000000e+00
1.891759999999999994e-06	1.669999999999999929e+00	2.000000000000001776e-03	-1.110223024625156540e-16	0.000000000000000000e+00
1.891919999999999963e-06	1.689999999999999947e+00	2.000000000000001776e-03	-1.110223024625156540e-16	0.000000000000000000e+00
1.892079999999999933e-06	1.689999999999999947e+00	2.000000000000001776e-03	7.999999999999896083e-03	0.000000000000000000e+00
1.892239999999999903e-06	1.689999999999999947e+00	2.000000000000001776e-03	-1.110223024625156540e-16	0.000000000000000000e+00
1.892399999999999872e-06	1.689999999999999947e+00	6.000000000000005329e-03	7.999999999999896083e-03	0.000000000000000000e+00
1.892560000000000054e-06	1.689999999999999947e+00	6.000000000000005329e-03	-1.110223024625156540e-16	0.000000000000000000e+00
1.892720000000000024e-06	1.709999999999999964e+00	2.000000000000001776e-03	-1.110223024625156540e-16	0.000000000000000000e+00
1.892879999999999993e-06	1.709999999999999964e+00	2.000000000000001776e-03	7.999999999999896083e-03	0.000000000000000000e+00
1.893039999999999963e-06	1.689999999999999947e+00	-2.000000000000001776e-03	7.999999999999896083e-03	-2.000000000000000389e-02
1.893199999999999933e-06	1.709999999999999964e+00	-2.000000000000001776e-03	7.999999999999896083e-03	-2.000000000000000389e-02
1.893359999999999902e-06	1.709999999999999964e+00	2.000000000000001776e-03	-1.110223024625156540e-16	0.000000000000000000e+00
1.893519999999999872e-06	1.689999999999999947e+00	6.000000000000005329e-03	-1.110223024625156540e-16	0.000000000000000000e+00
1.893680000000000053e-06	1.689999999999999947e+00	6.000000000000005329e-03	-1.110223024625156540e-16	0.000000000000000000e+00
1.893840000000000023e-06	1.689999999999999947e+00	2.000000000000001776e-03	7.999999999999896083e-03	0.000000000000000000e+00
1.893999999999999993e-06	1.709999999999999964e+00	2.000000000000001776e-03	-1.110223024625156540e-16	0.000000000000000000e+00
1.894159999999999962e-06	1.709999999999999964e+00	2.000000000000001776e-03	-1.110223024625156540e-16	0.000000000000000000e+00
1.894319999999999932e-06	1.689999999999999947e+00	6.000000000000005329e-03	-1.110223024625156540e-16	0.000000000000000000e+00
1.894479999999999902e-06	1.709999999999999964e+00	2.000000000000001776e-03	-1.110223024625156540e-16	0.000000000000000000e+00
1.894639999999999871e-06	1.709999999999999964e+00	-2.000000000000001776e-03	-1.110223024625156540e-16	0.000000000000000000e+00
1.894800000000000053e-06	1.709999999999999964e+00	2.000000000000001776e-03	-1.110223024625156540e-16	0.000000000000000000e+00
1.894960000000000022e-06	1.689999999999999947e+00	6.000000000000005329e-03	7.999999999999896083e-03	0.000000000000000000e+00
1.895119999999999992e-06	1.689999999999999947e+00	6.000000000000005329e-03	7.999999999999896083e-03	0.000000000000000000e+00
1.895279999999999962e-06	1.689999999999999947e+00	6.000000000000005329e-03	7.999999999999896083e-03	0.000000000000000000e+00
1.895439999999999931e-06	1.689999999999999947e+00	2.000000000000001776e-03	7.999999999999896083e-03	2.000000000000000389e-02
1.895599999999999901e-06	1.689999999999999947e+00	2.000000000000001776e-03	7.999999999999896083e-03	0.000000000000000000e+00
1.895759999999999871e-06	1.689999999999999947e+00	2.000000000000001776e-03	7.999999999999896083e-03	-2.000000000000000389e-02
1.895920000000000052e-06	1.689999999999999947e+00	2.000000000000001776e-03	-1.110223024625156540e-16	-2.000000000000000389e-02
1.896080000000000022e-06	1.689999999999999947e+00	2.000000000000001776e-03	7.999999999999896083e-03	-2.000000000000000389e-02
1.896239999999999992e-06	1.689999999999999947e+00	6.000000000000005329e-03	7.999999999999896083e-03	-2.000000000000000389e-02
1.896399999999999961e-06	1.689999999999999947e+00	2.000000000000001776e-03	-1.110223024625156540e-16	-2.000000000000000389e-02
1.896559999999999931e-06	1.709999999999999964e+00	2.000000000000001776e-03	-1.110223024625156540e-16	-2.000000000000000389e-02
1.896719999999999901e-06	1.709999999999999964e+00	2.000000000000001776e-03	-1.110223024625156540e-16	0.000000000000000000e+00
1.896879999999999870e-06	1.689999999999999947e+00	2.000000000000001776e-03	-1.110223024625156540e-16	0.000000000000000000e+00
1.897040000000000052e-06	1.689999999999999947e+00	2.000000000000001776e-03	-1.110223024625156540e-16	0.000000000000000000e+00
1.897200000000000021e-06	1.689999999999999947e+00	2.000000000000001776e-03	-1.110223024625156540e-16	0.000000000000000000e+00
1.897359999999999991e-06	1.689999999999999947e+00	2.000000000000001776e-03	7.999999999999896083e-03	0.000000000000000000e+00
1.897519999999999961e-06	1.689999999999999947e+00	6.000000000000005329e-03	7.999999999999896083e-03	0.000000000000000000e+00
