# time (ps)	level	
1.150000000000000000e+04	0.000000000000000000e+00
1.162500000000000000e+04	0.000000000000000000e+00
1.175000000000000000e+04	0.000000000000000000e+00
1.187500000000000000e+04	0.000000000000000000e+00
1.200000000000000000e+04	0.000000000000000000e+00
1.212500000000000000e+04	0.000000000000000000e+00
1.225000000000000000e+04	0.000000000000000000e+00
1.237500000000000000e+04	0.000000000000000000e+00
1.250000000000000000e+04	0.000000000000000000e+00
1.262500000000000000e+04	0.000000000000000000e+00
1.275000000000000000e+04	0.000000000000000000e+00
1.287500000000000000e+04	0.000000000000000000e+00
1.300000000000000000e+04	0.000000000000000000e+00
1.312500000000000000e+04	0.000000000000000000e+00
1.325000000000000000e+04	0.000000000000000000e+00
1.337500000000000000e+04	0.000000000000000000e+00
1.350000000000000000e+04	0.000000000000000000e+00
1.362500000000000000e+04	0.000000000000000000e+00
1.375000000000000000e+04	0.000000000000000000e+00
1.387500000000000000e+04	0.000000000000000000e+00
1.400000000000000000e+04	0.000000000000000000e+00
1.412500000000000000e+04	0.000000000000000000e+00
1.425000000000000000e+04	0.000000000000000000e+00
1.437500000000000000e+04	0.000000000000000000e+00
1.450000000000000000e+04	0.000000000000000000e+00
1.462500000000000000e+04	0.000000000000000000e+00
1.475000000000000000e+04	0.000000000000000000e+00
1.487500000000000000e+04	0.000000000000000000e+00
1.500000000000000000e+04	0.000000000000000000e+00
1.512500000000000000e+04	0.000000000000000000e+00
1.525000000000000000e+04	0.000000000000000000e+00
1.537500000000000000e+04	0.000000000000000000e+00
1.550000000000000000e+04	0.000000000000000000e+00
1.562500000000000000e+04	0.000000000000000000e+00
1.575000000000000000e+04	0.000000000000000000e+00
1.587500000000000000e+04	0.000000000000000000e+00
1.600000000000000000e+04	0.000000000000000000e+00
1.612500000000000000e+04	0.000000000000000000e+00
1.625000000000000000e+04	0.000000000000000000e+00
1.637500000000000000e+04	0.000000000000000000e+00
1.650000000000000000e+04	0.000000000000000000e+00
1.662500000000000000e+04	0.000000000000000000e+00
1.675000000000000000e+04	0.000000000000000000e+00
1.687500000000000000e+04	0.000000000000000000e+00
1.700000000000000000e+04	0.000000000000000000e+00
1.712500000000000000e+04	0.000000000000000000e+00
1.725000000000000000e+04	0.000000000000000000e+00
1.737500000000000000e+04	0.000000000000000000e+00
1.750000000000000000e+04	0.000000000000000000e+00
1.762500000000000000e+04	0.000000000000000000e+00
1.775000000000000000e+04	0.000000000000000000e+00
1.787500000000000000e+04	0.000000000000000000e+00
1.800000000000000000e+04	0.000000000000000000e+00
1.812500000000000000e+04	0.000000000000000000e+00
1.825000000000000000e+04	0.000000000000000000e+00
1.837500000000000000e+04	0.000000000000000000e+00
1.850000000000000000e+04	0.000000000000000000e+00
1.862500000000000000e+04	0.000000000000000000e+00
1.875000000000000000e+04	0.000000000000000000e+00
1.887500000000000000e+04	0.000000000000000000e+00
1.900000000000000000e+04	0.000000000000000000e+00
1.912500000000000000e+04	0.000000000000000000e+00
1.925000000000000000e+04	0.000000000000000000e+00
1.937500000000000000e+04	0.000000000000000000e+00
1.950000000000000000e+04	0.000000000000000000e+00
1.962500000000000000e+04	0.000000000000000000e+00
1.975000000000000000e+04	0.000000000000000000e+00
1.987500000000000000e+04	0.000000000000000000e+00
2.000000000000000000e+04	0.000000000000000000e+00
2.012500000000000000e+04	0.000000000000000000e+00
2.025000000000000000e+04	0.000000000000000000e+00
2.037500000000000000e+04	0.000000000000000000e+00
2.050000000000000000e+04	0.000000000000000000e+00
2.062500000000000000e+04	0.000000000000000000e+00
2.075000000000000000e+04	0.000000000000000000e+00
2.087500000000000000e+04	0.000000000000000000e+00
2.100000000000000000e+04	0.000000000000000000e+00
2.112500000000000000e+04	0.000000000000000000e+00
2.125000000000000000e+04	0.000000000000000000e+00
2.137500000000000000e+04	0.000000000000000000e+00
2.150000000000000000e+04	0.000000000000000000e+00
2.162500000000000000e+04	0.000000000000000000e+00
2.175000000000000000e+04	0.000000000000000000e+00
2.187500000000000000e+04	0.000000000000000000e+00
2.200000000000000000e+04	0.000000000000000000e+00
2.212500000000000000e+04	0.000000000000000000e+00
2.225000000000000000e+04	0.000000000000000000e+00
2.237500000000000000e+04	0.000000000000000000e+00
2.250000000000000000e+04	0.000000000000000000e+00
2.262500000000000000e+04	0.000000000000000000e+00
2.275000000000000000e+04	0.000000000000000000e+00
2.287500000000000000e+04	0.000000000000000000e+00
2.300000000000000000e+04	0.000000000000000000e+00
2.312500000000000000e+04	0.000000000000000000e+00
2.325000000000000000e+04	0.000000000000000000e+00
2.337500000000000000e+04	0.000000000000000000e+00
2.350000000000000000e+04	0.000000000000000000e+00
2.362500000000000000e+04	0.000000000000000000e+00
2.375000000000000000e+04	0.000000000000000000e+00
2.387500000000000000e+04	0.000000000000000000e+00
2.400000000000000000e+04	0.000000000000000000e+00
2.412500000000000000e+04	0.000000000000000000e+00
2.425000000000000000e+04	0.000000000000000000e+00
2.437500000000000000e+04	0.000000000000000000e+00
2.450000000000000000e+04	0.000000000000000000e+00
2.462500000000000000e+04	0.000000000000000000e+00
2.475000000000000000e+04	0.000000000000000000e+00
2.487500000000000000e+04	0.000000000000000000e+00
2.500000000000000000e+04	0.000000000000000000e+00
2.512500000000000000e+04	0.000000000000000000e+00
2.525000000000000000e+04	0.000000000000000000e+00
2.537500000000000000e+04	0.000000000000000000e+00
2.550000000000000000e+04	0.000000000000000000e+00
2.562500000000000000e+04	0.000000000000000000e+00
2.575000000000000000e+04	0.000000000000000000e+00
2.587500000000000000e+04	0.000000000000000000e+00
2.600000000000000000e+04	0.000000000000000000e+00
2.612500000000000000e+04	0.000000000000000000e+00
2.625000000000000000e+04	0.000000000000000000e+00
2.637500000000000000e+04	0.000000000000000000e+00
2.650000000000000000e+04	0.000000000000000000e+00
2.662500000000000000e+04	0.000000000000000000e+00
2.675000000000000000e+04	0.000000000000000000e+00
2.687500000000000000e+04	0.000000000000000000e+00
2.700000000000000000e+04	0.000000000000000000e+00
2.712500000000000000e+04	0.000000000000000000e+00
2.725000000000000000e+04	0.000000000000000000e+00
2.737500000000000000e+04	0.000000000000000000e+00
2.750000000000000000e+04	0.000000000000000000e+00
2.762500000000000000e+04	0.000000000000000000e+00
2.775000000000000000e+04	0.000000000000000000e+00
2.787500000000000000e+04	0.000000000000000000e+00
2.800000000000000000e+04	0.000000000000000000e+00
2.812500000000000000e+04	0.000000000000000000e+00
2.825000000000000000e+04	0.000000000000000000e+00
2.837500000000000000e+04	0.000000000000000000e+00
2.850000000000000000e+04	0.000000000000000000e+00
2.862500000000000000e+04	0.000000000000000000e+00
2.875000000000000000e+04	0.000000000000000000e+00
2.887500000000000000e+04	0.000000000000000000e+00
2.900000000000000000e+04	0.000000000000000000e+00
2.912500000000000000e+04	0.000000000000000000e+00
2.925000000000000000e+04	0.000000000000000000e+00
2.937500000000000000e+04	0.000000000000000000e+00
2.950000000000000000e+04	0.000000000000000000e+00
2.962500000000000000e+04	0.000000000000000000e+00
2.975000000000000000e+04	0.000000000000000000e+00
2.987500000000000000e+04	0.000000000000000000e+00
3.000000000000000000e+04	0.000000000000000000e+00
3.012500000000000000e+04	0.000000000000000000e+00
